,station_id,short_name,lat,lon,capacity,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_updated,temp_c,wind_kph,humidity,clouds
293,301,227,19.431783492215445,-99.20738060028725,23,4,0,19,0,2024-08-24 15:44:26,24.75,6.17,41,40
294,302,211,19.433607,-99.188528,35,6,1,28,0,2024-08-24 15:44:26,24.82,6.17,41,40
295,303,478,19.440818,-99.176961,27,0,0,27,0,2024-08-24 15:44:26,24.9,6.17,41,40
296,304,474,19.438984,-99.177549,31,26,2,3,0,2024-08-24 15:44:26,24.9,6.17,41,40
297,305,176,19.442717,-99.152262,39,24,0,15,0,2024-08-24 15:44:26,24.96,6.17,41,40
298,306,244,19.440508,-99.193681,23,6,0,17,0,2024-08-24 15:44:26,24.84,6.17,41,40
299,307,219,19.433542,-99.207808,39,6,0,33,0,2024-08-24 15:44:26,24.75,6.17,41,40
300,309,465,19.445039,-99.194078,27,1,0,26,0,2024-08-24 15:44:26,24.84,6.17,41,40
301,311,257,19.433803,-99.166223,19,4,0,15,0,2024-08-24 15:44:26,24.9,6.17,41,40
302,312,455,19.426308,-99.2033,23,7,0,16,0,2024-08-24 15:44:26,24.73,6.17,41,40
303,313,266-267,19.444031,-99.152187,75,39,2,34,0,2024-08-24 15:44:26,24.96,6.17,41,40
304,314,201,19.437496732030738,-99.18721206491682,19,3,0,16,0,2024-08-24 15:44:26,24.84,6.17,41,40
305,315,208,19.434182,-99.189835,25,2,0,23,0,2024-08-24 15:44:26,24.82,6.17,41,40
306,316,221,19.431799,-99.201565,25,6,0,19,0,2024-08-24 15:44:26,24.73,6.17,41,40
307,317,210,19.434076,-99.194091,27,2,0,25,0,2024-08-24 15:44:26,24.82,6.17,41,40
308,318,021,19.424809702659765,-99.1717654466629,25,12,2,11,0,2024-08-24 15:44:26,24.9,6.17,41,40
309,319,206,19.436142,-99.200996,23,20,0,3,0,2024-08-24 15:44:26,24.83,6.17,41,40
310,320,086,19.432452,-99.15924,17,0,2,15,0,2024-08-24 15:44:26,24.95,6.17,41,40
311,321,233,19.429314,-99.196965,15,6,0,9,0,2024-08-24 15:44:26,24.73,6.17,41,40
312,322,451,19.428847,-99.201299,33,2,0,31,0,2024-08-24 15:44:26,24.73,6.17,41,40
